"cod_cliente","cod_agencia","saldo_total","nome","cidade","tipo_agencia"
68,1,66.6912,Agência Matriz,São Paulo,Física
68,1,66.6912,Agência Matriz,São Paulo,Física
195,1,28846.584,Agência Matriz,São Paulo,Física
195,1,28846.584,Agência Matriz,São Paulo,Física
280,1,14666.5205,Agência Matriz,São Paulo,Física
280,1,14666.5205,Agência Matriz,São Paulo,Física
284,1,42994.117,Agência Matriz,São Paulo,Física
284,1,42994.117,Agência Matriz,São Paulo,Física
604,1,66821.99,Agência Matriz,São Paulo,Física
604,1,66821.99,Agência Matriz,São Paulo,Física
697,1,1323.399,Agência Matriz,São Paulo,Física
697,1,1323.399,Agência Matriz,São Paulo,Física
831,1,32572.576,Agência Matriz,São Paulo,Física
831,1,32572.576,Agência Matriz,São Paulo,Física
141,1,8239.8,Agência Matriz,São Paulo,Física
141,1,8239.8,Agência Matriz,São Paulo,Física
208,1,99593.47,Agência Matriz,São Paulo,Física
208,1,99593.47,Agência Matriz,São Paulo,Física
382,1,6992.42,Agência Matriz,São Paulo,Física
382,1,6992.42,Agência Matriz,São Paulo,Física
431,1,31323.332,Agência Matriz,São Paulo,Física
431,1,31323.332,Agência Matriz,São Paulo,Física
574,1,11612.546,Agência Matriz,São Paulo,Física
574,1,11612.546,Agência Matriz,São Paulo,Física
684,1,14568.495,Agência Matriz,São Paulo,Física
684,1,14568.495,Agência Matriz,São Paulo,Física
717,1,30082.004,Agência Matriz,São Paulo,Física
717,1,30082.004,Agência Matriz,São Paulo,Física
892,1,8397.36,Agência Matriz,São Paulo,Física
892,1,8397.36,Agência Matriz,São Paulo,Física
145,1,69766.79,Agência Matriz,São Paulo,Física
145,1,69766.79,Agência Matriz,São Paulo,Física
152,1,68.442,Agência Matriz,São Paulo,Física
152,1,68.442,Agência Matriz,São Paulo,Física
258,1,14823.211,Agência Matriz,São Paulo,Física
258,1,14823.211,Agência Matriz,São Paulo,Física
293,1,34326.805,Agência Matriz,São Paulo,Física
293,1,34326.805,Agência Matriz,São Paulo,Física
473,1,50851.234,Agência Matriz,São Paulo,Física
473,1,50851.234,Agência Matriz,São Paulo,Física
567,1,31479.602,Agência Matriz,São Paulo,Física
567,1,31479.602,Agência Matriz,São Paulo,Física
758,1,62228.87,Agência Matriz,São Paulo,Física
758,1,62228.87,Agência Matriz,São Paulo,Física
875,1,33365.152,Agência Matriz,São Paulo,Física
875,1,33365.152,Agência Matriz,São Paulo,Física
989,1,754.614,Agência Matriz,São Paulo,Física
989,1,754.614,Agência Matriz,São Paulo,Física
119,1,27043.277,Agência Matriz,São Paulo,Física
119,1,27043.277,Agência Matriz,São Paulo,Física
186,1,164.7086,Agência Matriz,São Paulo,Física
186,1,164.7086,Agência Matriz,São Paulo,Física
231,1,52988.996,Agência Matriz,São Paulo,Física
231,1,52988.996,Agência Matriz,São Paulo,Física
232,1,117243.305,Agência Matriz,São Paulo,Física
232,1,117243.305,Agência Matriz,São Paulo,Física
243,1,15640.93,Agência Matriz,São Paulo,Física
243,1,15640.93,Agência Matriz,São Paulo,Física
331,1,15569.423,Agência Matriz,São Paulo,Física
331,1,15569.423,Agência Matriz,São Paulo,Física
602,1,10115.968,Agência Matriz,São Paulo,Física
602,1,10115.968,Agência Matriz,São Paulo,Física
671,1,8075.952,Agência Matriz,São Paulo,Física
671,1,8075.952,Agência Matriz,São Paulo,Física
804,1,58103.965,Agência Matriz,São Paulo,Física
804,1,58103.965,Agência Matriz,São Paulo,Física
927,1,34239.266,Agência Matriz,São Paulo,Física
927,1,34239.266,Agência Matriz,São Paulo,Física
938,1,167.2076,Agência Matriz,São Paulo,Física
938,1,167.2076,Agência Matriz,São Paulo,Física
42,2,27615.72,Agência Tatuapé,São Paulo,Física
42,2,27615.72,Agência Tatuapé,São Paulo,Física
185,2,403.0493,Agência Tatuapé,São Paulo,Física
185,2,403.0493,Agência Tatuapé,São Paulo,Física
415,2,66837.71,Agência Tatuapé,São Paulo,Física
415,2,66837.71,Agência Tatuapé,São Paulo,Física
504,2,45917.36,Agência Tatuapé,São Paulo,Física
504,2,45917.36,Agência Tatuapé,São Paulo,Física
548,2,51462.004,Agência Tatuapé,São Paulo,Física
548,2,51462.004,Agência Tatuapé,São Paulo,Física
23,2,19605.436,Agência Tatuapé,São Paulo,Física
23,2,19605.436,Agência Tatuapé,São Paulo,Física
55,2,353.7644,Agência Tatuapé,São Paulo,Física
55,2,353.7644,Agência Tatuapé,São Paulo,Física
85,2,55114.867,Agência Tatuapé,São Paulo,Física
85,2,55114.867,Agência Tatuapé,São Paulo,Física
138,2,230.1324,Agência Tatuapé,São Paulo,Física
138,2,230.1324,Agência Tatuapé,São Paulo,Física
188,2,10111.062,Agência Tatuapé,São Paulo,Física
188,2,10111.062,Agência Tatuapé,São Paulo,Física
432,2,122319.375,Agência Tatuapé,São Paulo,Física
432,2,122319.375,Agência Tatuapé,São Paulo,Física
455,2,1440.9512,Agência Tatuapé,São Paulo,Física
455,2,1440.9512,Agência Tatuapé,São Paulo,Física
517,2,62271.816,Agência Tatuapé,São Paulo,Física
517,2,62271.816,Agência Tatuapé,São Paulo,Física
545,2,20510.215,Agência Tatuapé,São Paulo,Física
545,2,20510.215,Agência Tatuapé,São Paulo,Física
621,2,52509.98,Agência Tatuapé,São Paulo,Física
621,2,52509.98,Agência Tatuapé,São Paulo,Física
762,2,28104.6,Agência Tatuapé,São Paulo,Física
762,2,28104.6,Agência Tatuapé,São Paulo,Física
168,2,35959.305,Agência Tatuapé,São Paulo,Física
168,2,35959.305,Agência Tatuapé,São Paulo,Física
456,2,25.758,Agência Tatuapé,São Paulo,Física
456,2,25.758,Agência Tatuapé,São Paulo,Física
505,2,209128.92,Agência Tatuapé,São Paulo,Física
505,2,209128.92,Agência Tatuapé,São Paulo,Física
566,2,5737.688,Agência Tatuapé,São Paulo,Física
566,2,5737.688,Agência Tatuapé,São Paulo,Física
666,2,47389.754,Agência Tatuapé,São Paulo,Física
666,2,47389.754,Agência Tatuapé,São Paulo,Física
750,2,3848.6885,Agência Tatuapé,São Paulo,Física
750,2,3848.6885,Agência Tatuapé,São Paulo,Física
768,2,44919.125,Agência Tatuapé,São Paulo,Física
768,2,44919.125,Agência Tatuapé,São Paulo,Física
14,2,3923.4097,Agência Tatuapé,São Paulo,Física
14,2,3923.4097,Agência Tatuapé,São Paulo,Física
45,2,15400.831,Agência Tatuapé,São Paulo,Física
45,2,15400.831,Agência Tatuapé,São Paulo,Física
221,2,2058.9817,Agência Tatuapé,São Paulo,Física
221,2,2058.9817,Agência Tatuapé,São Paulo,Física
534,2,32217.004,Agência Tatuapé,São Paulo,Física
534,2,32217.004,Agência Tatuapé,São Paulo,Física
799,2,128.3257,Agência Tatuapé,São Paulo,Física
799,2,128.3257,Agência Tatuapé,São Paulo,Física
841,2,35333.46,Agência Tatuapé,São Paulo,Física
841,2,35333.46,Agência Tatuapé,São Paulo,Física
896,2,36968.31,Agência Tatuapé,São Paulo,Física
896,2,36968.31,Agência Tatuapé,São Paulo,Física
915,2,12410.458,Agência Tatuapé,São Paulo,Física
915,2,12410.458,Agência Tatuapé,São Paulo,Física
945,2,48981.152,Agência Tatuapé,São Paulo,Física
945,2,48981.152,Agência Tatuapé,São Paulo,Física
435,2,41480.043,Agência Tatuapé,São Paulo,Física
435,2,41480.043,Agência Tatuapé,São Paulo,Física
616,2,16991.021,Agência Tatuapé,São Paulo,Física
616,2,16991.021,Agência Tatuapé,São Paulo,Física
661,2,19.3321,Agência Tatuapé,São Paulo,Física
661,2,19.3321,Agência Tatuapé,São Paulo,Física
664,2,17796.98,Agência Tatuapé,São Paulo,Física
664,2,17796.98,Agência Tatuapé,São Paulo,Física
667,2,987.982,Agência Tatuapé,São Paulo,Física
667,2,987.982,Agência Tatuapé,São Paulo,Física
766,2,271.7449,Agência Tatuapé,São Paulo,Física
766,2,271.7449,Agência Tatuapé,São Paulo,Física
821,2,38099.7,Agência Tatuapé,São Paulo,Física
821,2,38099.7,Agência Tatuapé,São Paulo,Física
36,2,41929.754,Agência Tatuapé,São Paulo,Física
36,2,41929.754,Agência Tatuapé,São Paulo,Física
46,2,47538.625,Agência Tatuapé,São Paulo,Física
46,2,47538.625,Agência Tatuapé,São Paulo,Física
277,2,1408.3784,Agência Tatuapé,São Paulo,Física
277,2,1408.3784,Agência Tatuapé,São Paulo,Física
375,2,13593.815,Agência Tatuapé,São Paulo,Física
375,2,13593.815,Agência Tatuapé,São Paulo,Física
495,2,29290.945,Agência Tatuapé,São Paulo,Física
495,2,29290.945,Agência Tatuapé,São Paulo,Física
539,2,17405.557,Agência Tatuapé,São Paulo,Física
539,2,17405.557,Agência Tatuapé,São Paulo,Física
744,2,4711.0283,Agência Tatuapé,São Paulo,Física
744,2,4711.0283,Agência Tatuapé,São Paulo,Física
774,2,206361.4,Agência Tatuapé,São Paulo,Física
774,2,206361.4,Agência Tatuapé,São Paulo,Física
903,2,83936.28,Agência Tatuapé,São Paulo,Física
903,2,83936.28,Agência Tatuapé,São Paulo,Física
930,2,16311.09,Agência Tatuapé,São Paulo,Física
930,2,16311.09,Agência Tatuapé,São Paulo,Física
62,2,6662.318,Agência Tatuapé,São Paulo,Física
62,2,6662.318,Agência Tatuapé,São Paulo,Física
73,2,2612.7197,Agência Tatuapé,São Paulo,Física
73,2,2612.7197,Agência Tatuapé,São Paulo,Física
94,2,34545.957,Agência Tatuapé,São Paulo,Física
94,2,34545.957,Agência Tatuapé,São Paulo,Física
175,2,1931.369,Agência Tatuapé,São Paulo,Física
175,2,1931.369,Agência Tatuapé,São Paulo,Física
333,2,398.6604,Agência Tatuapé,São Paulo,Física
333,2,398.6604,Agência Tatuapé,São Paulo,Física
677,2,39346.53,Agência Tatuapé,São Paulo,Física
677,2,39346.53,Agência Tatuapé,São Paulo,Física
760,2,20116.396,Agência Tatuapé,São Paulo,Física
760,2,20116.396,Agência Tatuapé,São Paulo,Física
801,2,34040.21,Agência Tatuapé,São Paulo,Física
801,2,34040.21,Agência Tatuapé,São Paulo,Física
905,2,18219.17,Agência Tatuapé,São Paulo,Física
905,2,18219.17,Agência Tatuapé,São Paulo,Física
990,2,6317.251,Agência Tatuapé,São Paulo,Física
990,2,6317.251,Agência Tatuapé,São Paulo,Física
26,2,10388.779,Agência Tatuapé,São Paulo,Física
26,2,10388.779,Agência Tatuapé,São Paulo,Física
51,2,330.5536,Agência Tatuapé,São Paulo,Física
51,2,330.5536,Agência Tatuapé,São Paulo,Física
140,2,140807.67,Agência Tatuapé,São Paulo,Física
140,2,140807.67,Agência Tatuapé,São Paulo,Física
235,2,114315.51,Agência Tatuapé,São Paulo,Física
235,2,114315.51,Agência Tatuapé,São Paulo,Física
383,2,38945.742,Agência Tatuapé,São Paulo,Física
383,2,38945.742,Agência Tatuapé,São Paulo,Física
633,2,16.7993,Agência Tatuapé,São Paulo,Física
633,2,16.7993,Agência Tatuapé,São Paulo,Física
4,2,184007.86,Agência Tatuapé,São Paulo,Física
4,2,184007.86,Agência Tatuapé,São Paulo,Física
27,2,263.7312,Agência Tatuapé,São Paulo,Física
27,2,263.7312,Agência Tatuapé,São Paulo,Física
95,2,176.3055,Agência Tatuapé,São Paulo,Física
95,2,176.3055,Agência Tatuapé,São Paulo,Física
11,2,8749.809,Agência Tatuapé,São Paulo,Física
11,2,8749.809,Agência Tatuapé,São Paulo,Física
177,2,12129.607,Agência Tatuapé,São Paulo,Física
177,2,12129.607,Agência Tatuapé,São Paulo,Física
244,2,22751.99,Agência Tatuapé,São Paulo,Física
244,2,22751.99,Agência Tatuapé,São Paulo,Física
251,2,8907.738,Agência Tatuapé,São Paulo,Física
251,2,8907.738,Agência Tatuapé,São Paulo,Física
468,2,10007.897,Agência Tatuapé,São Paulo,Física
468,2,10007.897,Agência Tatuapé,São Paulo,Física
533,2,26541.773,Agência Tatuapé,São Paulo,Física
533,2,26541.773,Agência Tatuapé,São Paulo,Física
759,2,937.584,Agência Tatuapé,São Paulo,Física
759,2,937.584,Agência Tatuapé,São Paulo,Física
919,2,11549.643,Agência Tatuapé,São Paulo,Física
919,2,11549.643,Agência Tatuapé,São Paulo,Física
972,2,18882.357,Agência Tatuapé,São Paulo,Física
972,2,18882.357,Agência Tatuapé,São Paulo,Física
166,2,124745.695,Agência Tatuapé,São Paulo,Física
166,2,124745.695,Agência Tatuapé,São Paulo,Física
222,2,10214.635,Agência Tatuapé,São Paulo,Física
222,2,10214.635,Agência Tatuapé,São Paulo,Física
642,2,14609.898,Agência Tatuapé,São Paulo,Física
642,2,14609.898,Agência Tatuapé,São Paulo,Física
655,2,74550.79,Agência Tatuapé,São Paulo,Física
655,2,74550.79,Agência Tatuapé,São Paulo,Física
699,2,24351.57,Agência Tatuapé,São Paulo,Física
699,2,24351.57,Agência Tatuapé,São Paulo,Física
700,2,24760.975,Agência Tatuapé,São Paulo,Física
700,2,24760.975,Agência Tatuapé,São Paulo,Física
510,2,23050.588,Agência Tatuapé,São Paulo,Física
510,2,23050.588,Agência Tatuapé,São Paulo,Física
640,2,151.1136,Agência Tatuapé,São Paulo,Física
640,2,151.1136,Agência Tatuapé,São Paulo,Física
668,2,2967.7231,Agência Tatuapé,São Paulo,Física
668,2,2967.7231,Agência Tatuapé,São Paulo,Física
879,2,238990.88,Agência Tatuapé,São Paulo,Física
879,2,238990.88,Agência Tatuapé,São Paulo,Física
891,2,5171.978,Agência Tatuapé,São Paulo,Física
891,2,5171.978,Agência Tatuapé,São Paulo,Física
913,2,297.7512,Agência Tatuapé,São Paulo,Física
913,2,297.7512,Agência Tatuapé,São Paulo,Física
75,2,43845.3,Agência Tatuapé,São Paulo,Física
75,2,43845.3,Agência Tatuapé,São Paulo,Física
201,2,20524.264,Agência Tatuapé,São Paulo,Física
201,2,20524.264,Agência Tatuapé,São Paulo,Física
323,2,3914.17,Agência Tatuapé,São Paulo,Física
323,2,3914.17,Agência Tatuapé,São Paulo,Física
372,2,25957.564,Agência Tatuapé,São Paulo,Física
372,2,25957.564,Agência Tatuapé,São Paulo,Física
425,2,773.5351,Agência Tatuapé,São Paulo,Física
425,2,773.5351,Agência Tatuapé,São Paulo,Física
547,2,24559.998,Agência Tatuapé,São Paulo,Física
547,2,24559.998,Agência Tatuapé,São Paulo,Física
623,2,274.8616,Agência Tatuapé,São Paulo,Física
623,2,274.8616,Agência Tatuapé,São Paulo,Física
659,2,43301.918,Agência Tatuapé,São Paulo,Física
659,2,43301.918,Agência Tatuapé,São Paulo,Física
797,2,66.3166,Agência Tatuapé,São Paulo,Física
797,2,66.3166,Agência Tatuapé,São Paulo,Física
826,2,3343.1233,Agência Tatuapé,São Paulo,Física
826,2,3343.1233,Agência Tatuapé,São Paulo,Física
890,2,91.9126,Agência Tatuapé,São Paulo,Física
890,2,91.9126,Agência Tatuapé,São Paulo,Física
998,2,12110.947,Agência Tatuapé,São Paulo,Física
998,2,12110.947,Agência Tatuapé,São Paulo,Física
135,3,7367.5967,Agência Campinas,Campinas,Física
135,3,7367.5967,Agência Campinas,Campinas,Física
189,3,3657.9385,Agência Campinas,Campinas,Física
189,3,3657.9385,Agência Campinas,Campinas,Física
656,3,30350.783,Agência Campinas,Campinas,Física
656,3,30350.783,Agência Campinas,Campinas,Física
814,3,20261.338,Agência Campinas,Campinas,Física
814,3,20261.338,Agência Campinas,Campinas,Física
876,3,5137.496,Agência Campinas,Campinas,Física
876,3,5137.496,Agência Campinas,Campinas,Física
895,3,3191.8555,Agência Campinas,Campinas,Física
895,3,3191.8555,Agência Campinas,Campinas,Física
963,3,6909.4775,Agência Campinas,Campinas,Física
963,3,6909.4775,Agência Campinas,Campinas,Física
70,3,108.5105,Agência Campinas,Campinas,Física
70,3,108.5105,Agência Campinas,Campinas,Física
229,3,15665.47,Agência Campinas,Campinas,Física
229,3,15665.47,Agência Campinas,Campinas,Física
368,3,12017.387,Agência Campinas,Campinas,Física
368,3,12017.387,Agência Campinas,Campinas,Física
376,3,11668.146,Agência Campinas,Campinas,Física
376,3,11668.146,Agência Campinas,Campinas,Física
721,3,1729.3182,Agência Campinas,Campinas,Física
721,3,1729.3182,Agência Campinas,Campinas,Física
845,3,904.8035,Agência Campinas,Campinas,Física
845,3,904.8035,Agência Campinas,Campinas,Física
897,3,208.5146,Agência Campinas,Campinas,Física
897,3,208.5146,Agência Campinas,Campinas,Física
21,3,7250.568,Agência Campinas,Campinas,Física
21,3,7250.568,Agência Campinas,Campinas,Física
129,3,40602.26,Agência Campinas,Campinas,Física
129,3,40602.26,Agência Campinas,Campinas,Física
212,3,26933.379,Agência Campinas,Campinas,Física
212,3,26933.379,Agência Campinas,Campinas,Física
420,3,10852.622,Agência Campinas,Campinas,Física
420,3,10852.622,Agência Campinas,Campinas,Física
608,3,28555.18,Agência Campinas,Campinas,Física
608,3,28555.18,Agência Campinas,Campinas,Física
767,3,77102.73,Agência Campinas,Campinas,Física
767,3,77102.73,Agência Campinas,Campinas,Física
850,3,117660.805,Agência Campinas,Campinas,Física
850,3,117660.805,Agência Campinas,Campinas,Física
173,3,87.4356,Agência Campinas,Campinas,Física
173,3,87.4356,Agência Campinas,Campinas,Física
525,3,22773.805,Agência Campinas,Campinas,Física
525,3,22773.805,Agência Campinas,Campinas,Física
576,3,1618.477,Agência Campinas,Campinas,Física
576,3,1618.477,Agência Campinas,Campinas,Física
582,3,36087.812,Agência Campinas,Campinas,Física
582,3,36087.812,Agência Campinas,Campinas,Física
603,3,4323.1523,Agência Campinas,Campinas,Física
603,3,4323.1523,Agência Campinas,Campinas,Física
689,3,37557.594,Agência Campinas,Campinas,Física
689,3,37557.594,Agência Campinas,Campinas,Física
861,3,3621.645,Agência Campinas,Campinas,Física
861,3,3621.645,Agência Campinas,Campinas,Física
104,3,10225.378,Agência Campinas,Campinas,Física
104,3,10225.378,Agência Campinas,Campinas,Física
179,3,67454.05,Agência Campinas,Campinas,Física
179,3,67454.05,Agência Campinas,Campinas,Física
364,3,19006.896,Agência Campinas,Campinas,Física
364,3,19006.896,Agência Campinas,Campinas,Física
371,3,35852.78,Agência Campinas,Campinas,Física
371,3,35852.78,Agência Campinas,Campinas,Física
535,3,35.2724,Agência Campinas,Campinas,Física
535,3,35.2724,Agência Campinas,Campinas,Física
800,3,45523.664,Agência Campinas,Campinas,Física
800,3,45523.664,Agência Campinas,Campinas,Física
840,3,18951.81,Agência Campinas,Campinas,Física
840,3,18951.81,Agência Campinas,Campinas,Física
966,3,15348.308,Agência Campinas,Campinas,Física
966,3,15348.308,Agência Campinas,Campinas,Física
71,3,16164.536,Agência Campinas,Campinas,Física
71,3,16164.536,Agência Campinas,Campinas,Física
162,3,22674.025,Agência Campinas,Campinas,Física
162,3,22674.025,Agência Campinas,Campinas,Física
238,3,786.8812,Agência Campinas,Campinas,Física
238,3,786.8812,Agência Campinas,Campinas,Física
374,3,71434.555,Agência Campinas,Campinas,Física
374,3,71434.555,Agência Campinas,Campinas,Física
430,3,1546.671,Agência Campinas,Campinas,Física
